stage,task_id,model,preprocess,n_samples,exact_acc,within_1_acc,mae_levels,adjacent_error_rate
01_screening,G3_mba_molar_grade,HistGradientBoosting,p3,681,0.5829662261380323,0.9588839941262849,0.4581497797356828,0.9014084507042254
01_screening,G3_mba_molar_grade,HistGradientBoosting,p4,681,0.7312775330396476,0.9955947136563876,0.27312775330396477,0.9836065573770492
01_screening,G3_mba_molar_grade,HistGradientBoosting,raw,681,0.6020558002936858,0.9823788546255506,0.4155653450807636,0.955719557195572
01_screening,G3_mba_molar_grade,KNN,p1,681,0.461086637298091,0.9823788546255506,0.5565345080763583,0.9673024523160763
01_screening,G3_mba_molar_grade,KNN,p2,681,0.4787077826725404,0.960352422907489,0.5609397944199707,0.923943661971831
01_screening,G3_mba_molar_grade,KNN,p3,681,0.5139500734214391,0.9794419970631424,0.5066079295154186,0.9577039274924471
01_screening,G3_mba_molar_grade,KNN,p4,681,0.566813509544787,0.9926578560939795,0.44052863436123346,0.9830508474576272
01_screening,G3_mba_molar_grade,KNN,raw,681,0.55359765051395,0.960352422907489,0.48604992657856094,0.9111842105263158
01_screening,G3_mba_molar_grade,PLS-DA,p1,681,0.5301027900146843,0.9809104258443465,0.4889867841409692,0.959375
01_screening,G3_mba_molar_grade,PLS-DA,p2,681,0.5051395007342144,0.9720998531571219,0.5227606461086637,0.9436201780415431
01_screening,G3_mba_molar_grade,PLS-DA,p3,681,0.5080763582966226,0.9794419970631424,0.5124816446402349,0.9582089552238806
01_screening,G3_mba_molar_grade,PLS-DA,p4,681,0.461086637298091,0.9177679882525698,0.6211453744493393,0.8474114441416893
01_screening,G3_mba_molar_grade,PLS-DA,raw,681,0.5741556534508077,0.908957415565345,0.5168869309838473,0.7862068965517242
01_screening,G3_mba_molar_grade,RF,p1,681,0.5565345080763583,0.9765051395007343,0.4669603524229075,0.9470198675496688
01_screening,G3_mba_molar_grade,RF,p2,681,0.6417033773861968,0.9779735682819384,0.3803230543318649,0.9385245901639344
01_screening,G3_mba_molar_grade,RF,p3,681,0.6167400881057269,0.9823788546255506,0.4008810572687225,0.9540229885057471
01_screening,G3_mba_molar_grade,RF,p4,681,0.7312775330396476,1.0,0.2687224669603524,1.0
01_screening,G3_mba_molar_grade,RF,raw,681,0.6255506607929515,0.9750367107195301,0.39941262848751835,0.9333333333333333
01_screening,G3_mba_molar_grade,SVM,p1,681,0.7224669603524229,0.9794419970631424,0.29809104258443464,0.9259259259259259
01_screening,G3_mba_molar_grade,SVM,p2,681,0.6681350954478708,0.9823788546255506,0.34948604992657856,0.9469026548672567
01_screening,G3_mba_molar_grade,SVM,p3,681,0.6798825256975036,0.9765051395007343,0.3436123348017621,0.926605504587156
01_screening,G3_mba_molar_grade,SVM,p4,681,0.6651982378854625,0.9911894273127754,0.3436123348017621,0.9736842105263158
01_screening,G3_mba_molar_grade,SVM,raw,681,0.6079295154185022,0.9632892804698973,0.4287812041116006,0.9063670411985019
01_screening,G3_mba_molar_grade,Spectrum-KAN,p1,681,0.6989720998531571,0.9838472834067548,0.31718061674008813,0.9463414634146341
01_screening,G3_mba_molar_grade,Spectrum-KAN,p2,681,0.7268722466960352,0.9941262848751835,0.2790014684287812,0.978494623655914
01_screening,G3_mba_molar_grade,Spectrum-KAN,p3,681,0.7077826725403817,0.9853157121879589,0.3069016152716593,0.949748743718593
01_screening,G3_mba_molar_grade,Spectrum-KAN,p4,681,0.6167400881057269,0.9765051395007343,0.4067547723935389,0.9386973180076629
01_screening,G3_mba_molar_grade,Spectrum-KAN,raw,681,0.6093979441997063,0.9515418502202643,0.4390602055800294,0.8759398496240601
02_rf_nsga_best_01,G1_thiram_molar_grade,RF,p4,650,0.7784615384615384,0.9969230769230769,0.2246153846153846,0.9861111111111112
02_rf_nsga_best_01,G2_mg_molar_grade,RF,p4,648,0.595679012345679,0.9429012345679012,0.46141975308641975,0.8587786259541985
02_rf_nsga_best_01,G3_mba_molar_grade,RF,p4,681,0.775330396475771,0.9941262848751835,0.2305433186490455,0.9738562091503268
02_rf_nsga_best_02,G1_thiram_molar_grade,RF,p4,650,0.7784615384615384,0.9969230769230769,0.2246153846153846,0.9861111111111112
02_rf_nsga_best_02,G2_mg_molar_grade,RF,p4,648,0.595679012345679,0.9429012345679012,0.46141975308641975,0.8587786259541985
02_rf_nsga_best_02,G3_mba_molar_grade,RF,p4,681,0.775330396475771,0.9941262848751835,0.2305433186490455,0.9738562091503268
02_rf_nsga_best_03,G1_thiram_molar_grade,RF,p4,650,0.7846153846153846,0.9969230769230769,0.21846153846153846,0.9857142857142858
02_rf_nsga_best_03,G2_mg_molar_grade,RF,p4,648,0.5910493827160493,0.9429012345679012,0.4660493827160494,0.8603773584905661
02_rf_nsga_best_03,G3_mba_molar_grade,RF,p4,681,0.7826725403817915,0.9911894273127754,0.2261380323054332,0.9594594594594594
02_rf_nsga_best_04,G1_thiram_molar_grade,RF,p4,650,0.7815384615384615,0.9969230769230769,0.22153846153846155,0.9859154929577465
02_rf_nsga_best_04,G2_mg_molar_grade,RF,p4,648,0.5925925925925926,0.941358024691358,0.4660493827160494,0.8560606060606061
02_rf_nsga_best_04,G3_mba_molar_grade,RF,p4,681,0.7826725403817915,0.9941262848751835,0.22320117474302498,0.972972972972973
02_rf_nsga_best_05,G1_thiram_molar_grade,RF,p4,650,0.7815384615384615,0.9984615384615385,0.22,0.9929577464788732
02_rf_nsga_best_05,G2_mg_molar_grade,RF,p4,648,0.5941358024691358,0.9444444444444444,0.46141975308641975,0.8631178707224335
02_rf_nsga_best_05,G3_mba_molar_grade,RF,p4,681,0.7665198237885462,0.9955947136563876,0.23788546255506607,0.9811320754716981
02_rf_nsga_best_06,G1_thiram_molar_grade,RF,p4,650,0.7784615384615384,0.9969230769230769,0.2246153846153846,0.9861111111111112
02_rf_nsga_best_06,G2_mg_molar_grade,RF,p4,648,0.595679012345679,0.9429012345679012,0.46141975308641975,0.8587786259541985
02_rf_nsga_best_06,G3_mba_molar_grade,RF,p4,681,0.775330396475771,0.9941262848751835,0.2305433186490455,0.9738562091503268
02_rf_nsga_best_07,G1_thiram_molar_grade,RF,p4,650,0.7784615384615384,0.9969230769230769,0.2246153846153846,0.9861111111111112
02_rf_nsga_best_07,G2_mg_molar_grade,RF,p4,648,0.595679012345679,0.9429012345679012,0.46141975308641975,0.8587786259541985
02_rf_nsga_best_07,G3_mba_molar_grade,RF,p4,681,0.775330396475771,0.9941262848751835,0.2305433186490455,0.9738562091503268
02_rf_nsga_best_08,G1_thiram_molar_grade,RF,p4,650,0.7815384615384615,0.9984615384615385,0.22,0.9929577464788732
02_rf_nsga_best_08,G2_mg_molar_grade,RF,p4,648,0.5941358024691358,0.9444444444444444,0.46141975308641975,0.8631178707224335
02_rf_nsga_best_08,G3_mba_molar_grade,RF,p4,681,0.7665198237885462,0.9955947136563876,0.23788546255506607,0.9811320754716981
02_rf_nsga_best_09,G1_thiram_molar_grade,RF,p4,650,0.7784615384615384,0.9969230769230769,0.2246153846153846,0.9861111111111112
02_rf_nsga_best_09,G2_mg_molar_grade,RF,p4,648,0.595679012345679,0.9429012345679012,0.46141975308641975,0.8587786259541985
02_rf_nsga_best_09,G3_mba_molar_grade,RF,p4,681,0.775330396475771,0.9941262848751835,0.2305433186490455,0.9738562091503268
