Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,0.6354568231457015,0.21275751936156823,0.6544368982226765,0.21249558873511692,0.7244218782458145,0.17070100394601523
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,0.7624257409069688,0.13400173698109752,0.7824282207222648,0.061376345937372706,0.7963560399614797,0.14551298859350806
P1_thiram_presence,Thiram Presence,KNN,raw,0.6886413036937925,0.13804791232870953,0.7274512857539335,0.10209620710796852,0.7189565530469195,0.15309022237218542
P1_thiram_presence,Thiram Presence,PLS-DA,raw,0.7591597612702654,0.10211864353958161,0.7401959371893528,0.08654235099474591,0.8276409497753882,0.08562415422876905
P1_thiram_presence,Thiram Presence,RF,raw,0.7298246042185798,0.11039656453673993,0.7522353677537359,0.06696787603973581,0.7747174430784403,0.11845391254584704
P1_thiram_presence,Thiram Presence,SVM,raw,0.6763099232451276,0.1386742105360516,0.6841796142299733,0.1210909687728222,0.7471859293335619,0.12632771637361104
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0.6388694527007943,0.17579625041702232,0.6857154523133036,0.1444919270151695,0.7268024298246691,0.16896614128389906
P2_mg_presence,MG Presence,1D-CNN,raw,0.6149933710137512,0.15360647466582794,0.6518028021313074,0.1730405843252156,0.6526849482535342,0.1578105462976559
P2_mg_presence,MG Presence,Chem-KAN,raw,0.5966579065980054,0.22283233791649482,0.6257012117602996,0.2247896173903701,0.6714377801159511,0.20361696273590724
P2_mg_presence,MG Presence,HistGradientBoosting,raw,0.7859327767671198,0.08871501411059689,0.7940766206990413,0.09507055260325903,0.8419278585639353,0.05196640426152813
P2_mg_presence,MG Presence,KNN,raw,0.5586615741384426,0.09566510417816525,0.5691422188197507,0.08426461779254989,0.6552540381853771,0.1135013136118056
P2_mg_presence,MG Presence,PLS-DA,raw,0.5470575636508868,0.18482579156813758,0.5624911974334191,0.16502822407390777,0.7220633134680333,0.09938469401302137
