Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P3_mba_presence,MBA Presence,1D-CNN,p1,4,0.9699197860962568,0.962962962962963,0.9777777777777776,19.20094383507967,0.0098237320780754
P3_mba_presence,MBA Presence,1D-ResNet,p1,0,0.918291802094619,0.8863636363636364,0.9447513812154696,16.90061280876398,0.0049283504486083
P3_mba_presence,MBA Presence,1D-ResNet,p1,1,0.9608542473141664,0.9498387370565268,0.9722222222222222,21.178382076323032,0.0174266919493675
P3_mba_presence,MBA Presence,1D-ResNet,p1,2,0.8982210430168327,0.8887285690035648,0.9277777777777778,18.68098670244217,0.008402980864048
P3_mba_presence,MBA Presence,1D-ResNet,p1,3,0.92831541218638,0.9,0.95,18.00308121740818,0.0762972384691238
P3_mba_presence,MBA Presence,1D-ResNet,p1,4,0.863919863919864,0.8222222222222222,0.9111111111111112,16.32006511837244,0.0748770236968994
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0,0.8575177118866439,0.9002156602521566,0.8839779005524862,9.79376296699047,0.0103848278522491
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,1,0.9541673739602784,0.9541673739602784,0.9666666666666668,21.60634323209524,0.010368213057518
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,2,0.9922994652406416,0.9883720930232558,0.9944444444444444,26.40232066810131,0.0108252465724945
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,3,0.9485273091221048,0.9518518518518518,0.9611111111111112,17.082012340426445,0.0091835781931877
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,4,0.9439164978968686,0.9703703703703704,0.9555555555555556,14.602804824709892,0.0835657194256782
P3_mba_presence,MBA Presence,KAN-CNN,p1,0,0.8667648141332351,0.8336098208360982,0.9116022099447514,22.42518124729395,0.0689423456788063
P3_mba_presence,MBA Presence,KAN-CNN,p1,1,0.9123855037833531,0.8960278390765575,0.9388888888888888,24.415857523679733,0.00388053804636
P3_mba_presence,MBA Presence,KAN-CNN,p1,2,0.9306951871657754,0.9272619249702936,0.95,23.791296251118183,0.0808297246694564
P3_mba_presence,MBA Presence,KAN-CNN,p1,3,0.9210387787331112,0.8962962962962964,0.9444444444444444,29.30752653628588,0.0064618363976478
P3_mba_presence,MBA Presence,KAN-CNN,p1,4,0.9541673739602784,0.9407407407407408,0.9666666666666668,23.29631932079792,0.0806750208139419
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0,0.9700258397932816,0.970959595959596,0.9694656488549618,28.503251008689404,0.0416044890880584
