Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P3_mba_presence,MBA Presence,1D-CNN,p1,4,0.9460962566844919,0.9239130434782609,0.9611111111111111
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,0,0.9925696594427245,0.9922480620155039,0.9923076923076923
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,1,0.9837690923305367,0.9824561403508771,0.9846153846153847
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,2,0.9843815219368385,0.9844550432785727,0.9846153846153847
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,3,0.976391683433937,0.9778975741239893,0.9769230769230769
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,4,1.0,1.0,1.0
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,0,1.0,1.0,1.0
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,1,1.0,1.0,1.0
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,2,0.9915122213268869,0.990990990990991,0.9923076923076923
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,3,0.9928686709454642,0.9920634920634921,0.9923076923076923
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,4,1.0,1.0,1.0
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,0,0.9175993232234617,0.9143039749299028,0.9153846153846154
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,1,0.9325945631129091,0.9307101086048454,0.9307692307692308
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,2,0.8862817065431444,0.8773184949655538,0.8846153846153846
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,3,0.9123256310265214,0.9098233003893381,0.9076923076923077
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,4,0.9481410746116629,0.9479039479039478,0.9461538461538461
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p1,0,0.9613261031838567,0.9625597888833911,0.9615384615384616
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p1,1,0.9832390530064948,0.9824561403508771,0.9846153846153847
