task,task_name,feature_index,wavenumber,mean_abs_shap
G1_thiram_molar_grade,Thiram Positive Molar Grade,944,1344.0,0.00067695257593366
G1_thiram_molar_grade,Thiram Positive Molar Grade,521,921.0,0.0006738090241071454
G1_thiram_molar_grade,Thiram Positive Molar Grade,1360,1760.0,0.0006679777505315881
G1_thiram_molar_grade,Thiram Positive Molar Grade,45,445.0,0.0006679505457778119
G1_thiram_molar_grade,Thiram Positive Molar Grade,1052,1452.0,0.0006647917876715992
G1_thiram_molar_grade,Thiram Positive Molar Grade,1047,1447.0,0.0006627780447514591
G1_thiram_molar_grade,Thiram Positive Molar Grade,69,469.0,0.000659437264562585
G1_thiram_molar_grade,Thiram Positive Molar Grade,1018,1418.0,0.0006587830692053556
G1_thiram_molar_grade,Thiram Positive Molar Grade,524,924.0,0.0006559953826661775
G1_thiram_molar_grade,Thiram Positive Molar Grade,679,1079.0,0.0006546130004390579
G1_thiram_molar_grade,Thiram Positive Molar Grade,162,562.0,0.0006523675313796904
G1_thiram_molar_grade,Thiram Positive Molar Grade,479,879.0,0.0006522533773488604
G1_thiram_molar_grade,Thiram Positive Molar Grade,556,956.0,0.0006521625670527858
G1_thiram_molar_grade,Thiram Positive Molar Grade,150,550.0,0.0006510579237644545
G1_thiram_molar_grade,Thiram Positive Molar Grade,47,447.0,0.0006474242972706678
G1_thiram_molar_grade,Thiram Positive Molar Grade,553,953.0,0.0006395548535872459
G1_thiram_molar_grade,Thiram Positive Molar Grade,1330,1730.0,0.0006384428488426362
G1_thiram_molar_grade,Thiram Positive Molar Grade,84,484.0,0.0006382212773247619
G1_thiram_molar_grade,Thiram Positive Molar Grade,966,1366.0,0.0006378284561124426
G1_thiram_molar_grade,Thiram Positive Molar Grade,1144,1544.0,0.0006375402894141929
G1_thiram_molar_grade,Thiram Positive Molar Grade,1329,1729.0,0.0006358917786474836
G1_thiram_molar_grade,Thiram Positive Molar Grade,335,735.0,0.0006345319383585844
G1_thiram_molar_grade,Thiram Positive Molar Grade,1363,1763.0,0.0006339520275091755
G1_thiram_molar_grade,Thiram Positive Molar Grade,1127,1527.0,0.0006307367519980284
G1_thiram_molar_grade,Thiram Positive Molar Grade,1145,1545.0,0.0006301278360172839
G1_thiram_molar_grade,Thiram Positive Molar Grade,1318,1718.0,0.0006299325061600765
G1_thiram_molar_grade,Thiram Positive Molar Grade,668,1068.0,0.0006298263989492889
G1_thiram_molar_grade,Thiram Positive Molar Grade,156,556.0,0.000629738851772214
G1_thiram_molar_grade,Thiram Positive Molar Grade,1171,1571.0,0.0006293454709893474
G1_thiram_molar_grade,Thiram Positive Molar Grade,121,521.0,0.0006285228536802371
G1_thiram_molar_grade,Thiram Positive Molar Grade,900,1300.0,0.0006277929459739761
G1_thiram_molar_grade,Thiram Positive Molar Grade,693,1093.0,0.0006267995366863009
G1_thiram_molar_grade,Thiram Positive Molar Grade,482,882.0,0.000626387438864419
G1_thiram_molar_grade,Thiram Positive Molar Grade,145,545.0,0.0006244440785128042
G1_thiram_molar_grade,Thiram Positive Molar Grade,395,795.0,0.0006238637004546816
G1_thiram_molar_grade,Thiram Positive Molar Grade,915,1315.0,0.0006235988663921942
G1_thiram_molar_grade,Thiram Positive Molar Grade,457,857.0,0.0006232948656508665
G1_thiram_molar_grade,Thiram Positive Molar Grade,687,1087.0,0.0006231137611725319
G1_thiram_molar_grade,Thiram Positive Molar Grade,120,520.0,0.0006222751372828566
G1_thiram_molar_grade,Thiram Positive Molar Grade,943,1343.0,0.0006217322713030385
G1_thiram_molar_grade,Thiram Positive Molar Grade,1194,1594.0,0.0006215924856020352
G1_thiram_molar_grade,Thiram Positive Molar Grade,692,1092.0,0.0006212245312576042
G1_thiram_molar_grade,Thiram Positive Molar Grade,1313,1713.0,0.0006201008623103268
G1_thiram_molar_grade,Thiram Positive Molar Grade,942,1342.0,0.0006198910173406574
G1_thiram_molar_grade,Thiram Positive Molar Grade,981,1381.0,0.0006197713933068991
G1_thiram_molar_grade,Thiram Positive Molar Grade,912,1312.0,0.0006190867748541843
G1_thiram_molar_grade,Thiram Positive Molar Grade,836,1236.0,0.0006156730081915329
G1_thiram_molar_grade,Thiram Positive Molar Grade,557,957.0,0.0006148199098878688
G1_thiram_molar_grade,Thiram Positive Molar Grade,1040,1440.0,0.0006144440466399878
G1_thiram_molar_grade,Thiram Positive Molar Grade,690,1090.0,0.0006144101697932095
G1_thiram_molar_grade,Thiram Positive Molar Grade,139,539.0,0.0006136978734436447
G1_thiram_molar_grade,Thiram Positive Molar Grade,1365,1765.0,0.0006088412584094565
G1_thiram_molar_grade,Thiram Positive Molar Grade,117,517.0,0.0006074718529662596
G1_thiram_molar_grade,Thiram Positive Molar Grade,517,917.0,0.0006050980671749529
G1_thiram_molar_grade,Thiram Positive Molar Grade,1036,1436.0,0.0006026685459222849
G1_thiram_molar_grade,Thiram Positive Molar Grade,901,1301.0,0.0006021651009148133
G1_thiram_molar_grade,Thiram Positive Molar Grade,916,1316.0,0.0006020171439381585
G1_thiram_molar_grade,Thiram Positive Molar Grade,78,478.0,0.0005981954928707446
G1_thiram_molar_grade,Thiram Positive Molar Grade,641,1041.0,0.0005958179849906088
G1_thiram_molar_grade,Thiram Positive Molar Grade,449,849.0,0.0005927278284594519
G1_thiram_molar_grade,Thiram Positive Molar Grade,114,514.0,0.0005924514120258269
G1_thiram_molar_grade,Thiram Positive Molar Grade,1192,1592.0,0.0005919209054185867
G1_thiram_molar_grade,Thiram Positive Molar Grade,914,1314.0,0.0005908424417471655
G1_thiram_molar_grade,Thiram Positive Molar Grade,1112,1512.0,0.0005901071257299678
G1_thiram_molar_grade,Thiram Positive Molar Grade,146,546.0,0.0005897592532739904
G1_thiram_molar_grade,Thiram Positive Molar Grade,1352,1752.0,0.0005890159924465285
G1_thiram_molar_grade,Thiram Positive Molar Grade,520,920.0,0.0005876838174247248
G1_thiram_molar_grade,Thiram Positive Molar Grade,166,566.0,0.0005876504174683389
G1_thiram_molar_grade,Thiram Positive Molar Grade,878,1278.0,0.0005858341844181413
G1_thiram_molar_grade,Thiram Positive Molar Grade,1215,1615.0,0.0005856120261330826
G1_thiram_molar_grade,Thiram Positive Molar Grade,444,844.0,0.000578312966736877
G1_thiram_molar_grade,Thiram Positive Molar Grade,1355,1755.0,0.000578211521378634
G1_thiram_molar_grade,Thiram Positive Molar Grade,1275,1675.0,0.0005772784559571253
G1_thiram_molar_grade,Thiram Positive Molar Grade,379,779.0,0.0005751621862406681
G1_thiram_molar_grade,Thiram Positive Molar Grade,108,508.0,0.0005736069706496327
G1_thiram_molar_grade,Thiram Positive Molar Grade,732,1132.0,0.0005731136149724551
G1_thiram_molar_grade,Thiram Positive Molar Grade,446,846.0,0.00056923725437465
G1_thiram_molar_grade,Thiram Positive Molar Grade,1177,1577.0,0.0005688863626227171
G1_thiram_molar_grade,Thiram Positive Molar Grade,41,441.0,0.0005667510311411876
G1_thiram_molar_grade,Thiram Positive Molar Grade,276,676.0,0.0005656344090699353
G1_thiram_molar_grade,Thiram Positive Molar Grade,957,1357.0,0.0005638066016553164
G1_thiram_molar_grade,Thiram Positive Molar Grade,161,561.0,0.0005624993913542858
G1_thiram_molar_grade,Thiram Positive Molar Grade,433,833.0,0.0005616412285823389
G1_thiram_molar_grade,Thiram Positive Molar Grade,1019,1419.0,0.0005613117855772812
G1_thiram_molar_grade,Thiram Positive Molar Grade,911,1311.0,0.0005587199382045184
G1_thiram_molar_grade,Thiram Positive Molar Grade,394,794.0,0.0005549252331234166
G1_thiram_molar_grade,Thiram Positive Molar Grade,1087,1487.0,0.0005545252455466039
G1_thiram_molar_grade,Thiram Positive Molar Grade,1175,1575.0,0.0005543257057040929
G1_thiram_molar_grade,Thiram Positive Molar Grade,58,458.0,0.000552613181818967
G1_thiram_molar_grade,Thiram Positive Molar Grade,523,923.0,0.0005524656742141705
G1_thiram_molar_grade,Thiram Positive Molar Grade,561,961.0,0.000550652060184468
G1_thiram_molar_grade,Thiram Positive Molar Grade,947,1347.0,0.0005495746018612859
G1_thiram_molar_grade,Thiram Positive Molar Grade,891,1291.0,0.0005494038266788266
G1_thiram_molar_grade,Thiram Positive Molar Grade,1339,1739.0,0.000548274790227354
G1_thiram_molar_grade,Thiram Positive Molar Grade,61,461.0,0.0005473757116194498
G1_thiram_molar_grade,Thiram Positive Molar Grade,158,558.0,0.0005465222906327539
G1_thiram_molar_grade,Thiram Positive Molar Grade,334,734.0,0.000543218028553585
G1_thiram_molar_grade,Thiram Positive Molar Grade,921,1321.0,0.0005432053074205015
G1_thiram_molar_grade,Thiram Positive Molar Grade,879,1279.0,0.0005423122461624705
G1_thiram_molar_grade,Thiram Positive Molar Grade,59,459.0,0.0005416576019675444
G1_thiram_molar_grade,Thiram Positive Molar Grade,1359,1759.0,0.0005402349879006848
G1_thiram_molar_grade,Thiram Positive Molar Grade,559,959.0,0.000537222449091084
G1_thiram_molar_grade,Thiram Positive Molar Grade,38,438.0,0.0005367493003771398
G1_thiram_molar_grade,Thiram Positive Molar Grade,398,798.0,0.000535021934343716
G1_thiram_molar_grade,Thiram Positive Molar Grade,1027,1427.0,0.0005349496733507251
G1_thiram_molar_grade,Thiram Positive Molar Grade,51,451.0,0.0005346975612044274
G1_thiram_molar_grade,Thiram Positive Molar Grade,967,1367.0,0.000533316247860014
G1_thiram_molar_grade,Thiram Positive Molar Grade,1309,1709.0,0.0005331575157459176
G1_thiram_molar_grade,Thiram Positive Molar Grade,525,925.0,0.0005314699060538323
G1_thiram_molar_grade,Thiram Positive Molar Grade,1014,1414.0,0.0005286600038830016
G1_thiram_molar_grade,Thiram Positive Molar Grade,1044,1444.0,0.000526209951667629
G1_thiram_molar_grade,Thiram Positive Molar Grade,637,1037.0,0.0005256726920298346
G1_thiram_molar_grade,Thiram Positive Molar Grade,1041,1441.0,0.0005255957502278304
G1_thiram_molar_grade,Thiram Positive Molar Grade,983,1383.0,0.0005212241467436362
G1_thiram_molar_grade,Thiram Positive Molar Grade,155,555.0,0.0005200756853089956
