variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent
p1,美4K5m6,MG_1616,1616,15,-0.21280836088049973,0.015006318253795512,7.0515642297635805
p1,美4K5m6,MBA_1080,1080,15,-0.19074952507684467,0.01539650196515335,8.07158075961173
p1,美4K6,Thiram_1382,1382,11,7.483068971090467,0.6084155621516028,8.130561999389691
p1,美4K6,MG_1616,1616,11,-0.4195981560036417,0.016833133776316216,4.0117273003864495
p1,美4K6,MBA_1080,1080,11,-0.31042685385635366,0.02141080865034251,6.8972153614809715
p1,美4K6m4,Thiram_1382,1382,14,1.7906580826588825,0.016434997941437542,0.9178188790254038
p1,美4K6m4,MG_1616,1616,14,-0.33925343210168696,0.007195274822594211,2.1209143789700904
p1,美4K6m4,MBA_1080,1080,14,6.4825950899194735,0.10584261277561398,1.6327197874845019
p1,美4K6m5,Thiram_1382,1382,14,8.072938694581453,0.0345761655144844,0.4282971396486869
p1,美4K6m5,MG_1616,1616,14,-0.45981048418800724,0.008790091914240308,1.9116771401511186
p1,美4K6m5,MBA_1080,1080,14,1.0961637833207687,0.01997882172426818,1.8226128274137487
p1,美4K6m6,Thiram_1382,1382,13,8.601687999653642,0.12306241148124196,1.4306774610541237
p1,美4K6m6,MG_1616,1616,13,-0.32597299752984504,0.05176654161234541,15.880622629672212
p1,美4K6m6,MBA_1080,1080,13,0.07295814035041488,0.04565670741269149,62.57931903609967
p1,美4m4,Thiram_1382,1382,20,5.519567833398713,0.6152799909886245,11.147249378213756
p1,美4m4,MG_1616,1616,20,-0.48085196399915053,0.011483819173694102,2.388223410420424
p1,美4m4,MBA_1080,1080,20,4.19654883575407,0.4054107766867914,9.660575690975936
p1,美4m5,Thiram_1382,1382,19,7.420536524048994,0.8055145128814992,10.85520582333813
p1,美4m5,MG_1616,1616,19,-0.4409894427999065,0.016016559964122816,3.63195995405952
p1,美4m5,MBA_1080,1080,19,0.4237102911083457,0.09994403682614471,23.58782378514104
p1,美4m6,Thiram_1382,1382,4,8.1306381483111,0.039341591577296456,0.4838684351666605
p1,美4m6,MG_1616,1616,4,-0.39836847439968553,0.006729329386136611,1.6892223703889362
p1,美4m6,MBA_1080,1080,4,-0.21046169471950033,0.004932094110183543,2.343464028813867
p1,美5,Thiram_1382,1382,20,8.445972897066119,0.03877869324539219,0.45913826290944837
p1,美5,MG_1616,1616,20,-0.3462947176149276,0.007936394100377327,2.2918033965514972
p1,美5,MBA_1080,1080,20,-0.2833292584346008,0.009513180719956825,3.357641484863695
p1,美5K4,Thiram_1382,1382,13,2.2508693465091216,0.3829165753729646,17.011941451281068
p1,美5K4,MG_1616,1616,13,3.424963809325012,0.36410746692238,10.630987280246266
p1,美5K4,MBA_1080,1080,13,-0.6188193351052959,0.02204988925860283,3.5632191833260842
p1,美5K4m4,Thiram_1382,1382,14,1.094362909596961,0.5775880255463186,52.77847234049959
p1,美5K4m4,MG_1616,1616,14,3.593932094477521,0.19923296011402128,5.543592780179821
p1,美5K4m4,MBA_1080,1080,14,0.7471947571362001,0.3799975088967468,50.85655450169067
p1,美5K4m5,Thiram_1382,1382,18,3.6529966125309463,0.09295770547388059,2.544697280994073
p1,美5K4m5,MG_1616,1616,18,5.739656267502608,0.24092626061391392,4.197572979727299
p1,美5K4m5,MBA_1080,1080,18,-0.3007025653630141,0.05051562611546892,16.799200251080485
p1,美5K4m6,Thiram_1382,1382,14,3.8852462990753227,0.0545631853453212,1.4043687618544822
p1,美5K4m6,MG_1616,1616,14,5.34925603713693,0.24497080232161483,4.579530323860324
p1,美5K4m6,MBA_1080,1080,14,-0.5481790084516975,0.009252610132117941,1.6878811463889227
p1,美5K5,Thiram_1382,1382,14,0.819857030454081,0.23872572935404476,29.117970632248603
p1,美5K5,MG_1616,1616,14,1.1393800753633323,0.27520400821873475,24.153837175972736
p1,美5K5,MBA_1080,1080,14,-0.38677722481913096,0.018779051428328242,4.855262984295393
p1,美5K5m4,Thiram_1382,1382,15,1.0356020039954328,0.061602328541083766,5.948455903273382
p1,美5K5m4,MG_1616,1616,15,0.29989629315494687,0.05708311477040575,19.034284875576212
p1,美5K5m4,MBA_1080,1080,15,6.141233836645733,0.13051904440804313,2.1252902572967494
p1,美5K5m5,Thiram_1382,1382,14,4.507498398292368,0.11137067511414214,2.4707867928768223
p1,美5K5m5,MG_1616,1616,14,3.6067651327463888,0.1000813771703894,2.7748237960308204
p1,美5K5m5,MBA_1080,1080,14,2.7439582523362938,0.11409094521991904,4.157896539525642
p1,美5K5m6,Thiram_1382,1382,15,5.270403054956918,0.11439289396042264,2.1704771488555106
p1,美5K5m6,MG_1616,1616,15,4.542067739707559,0.06243669253307974,1.3746314698754303
p1,美5K5m6,MBA_1080,1080,15,-0.2071514162132007,0.0626126273895589,30.22553672774211
p1,美5K6,Thiram_1382,1382,2,2.6530668939280693,1.1844696888025499,44.6453005581345
p1,美5K6,MG_1616,1616,2,-0.08219293234146455,0.09159251413259183,111.4359976257781
p1,美5K6,MBA_1080,1080,2,-0.2673967714601222,0.04250003620599797,15.893997513106154
p1,美5K6m4,Thiram_1382,1382,14,0.7275808662556493,0.06129232228555331,8.424125087425965
p1,美5K6m4,MG_1616,1616,14,-0.10659951236675169,0.017778345396576353,16.67769861405239
p1,美5K6m4,MBA_1080,1080,14,6.434417838379112,0.21331718815568185,3.3152523431617613
p1,美5K6m5,Thiram_1382,1382,13,4.062315966904321,0.12669695040667814,3.1188354485194627
p1,美5K6m5,MG_1616,1616,13,0.3602186089164307,0.12381576086911808,34.37239437506208
