sample_index,preprocess,wavenumber,value
279,raw,826.0,14165.395734597161
279,raw,827.0,14262.414691943131
279,raw,828.0,14339.428909952609
279,raw,829.0,14415.139810426543
279,raw,830.0,14486.229857819906
279,raw,831.0,14535.776190476188
279,raw,832.0,14411.014285714286
279,raw,833.0,14286.258293838864
279,raw,834.0,14162.08767772512
279,raw,835.0,14037.917061611377
279,raw,836.0,13839.285714285721
279,raw,837.0,13632.380952380961
279,raw,838.0,13444.649289099527
279,raw,839.0,13261.710900473927
279,raw,840.0,13100.678571428565
279,raw,841.0,12949.48809523809
279,raw,842.0,12823.187203791465
279,raw,843.0,12714.182464454974
279,raw,844.0,12633.842857142856
279,raw,845.0,12584.557142857142
279,raw,846.0,12523.871428571429
279,raw,847.0,12444.585714285717
279,raw,848.0,12364.100000000002
279,raw,849.0,12280.528571428575
279,raw,850.0,12208.528571428573
279,raw,851.0,12189.242857142857
279,raw,852.0,12167.176190476188
279,raw,853.0,12113.12857142857
279,raw,854.0,12059.080952380951
279,raw,855.0,11936.666666666666
279,raw,856.0,11812.857142857143
279,raw,857.0,11761.578947368422
279,raw,858.0,11720.19138755981
279,raw,859.0,11691.37380952381
279,raw,860.0,11665.897619047619
279,raw,861.0,11641.162679425835
279,raw,862.0,11616.760765550238
279,raw,863.0,11599.285714285714
279,raw,864.0,11586.42857142857
279,raw,865.0,11563.253588516747
279,raw,866.0,11529.76076555024
279,raw,867.0,11480.868421052633
279,raw,868.0,11409.815789473683
279,raw,869.0,11363.413875598086
279,raw,870.0,11369.394736842105
279,raw,871.0,11362.775119617225
279,raw,872.0,11313.971291866028
279,raw,873.0,11271.22966507177
279,raw,874.0,11265.727272727272
279,raw,875.0,11259.818181818182
279,raw,876.0,11246.181818181818
279,raw,877.0,11232.545454545454
279,raw,878.0,11246.698564593302
279,raw,879.0,11262.009569377991
279,raw,880.0,11262.95933014354
279,raw,881.0,11261.763157894737
279,raw,882.0,11300.3125
279,raw,883.0,11350.072115384617
279,raw,884.0,11389.784688995216
279,raw,885.0,11425.19138755981
279,raw,886.0,11493.108173076924
279,raw,887.0,11581.810096153844
279,raw,888.0,11678.782296650717
279,raw,889.0,11783.088516746415
279,raw,890.0,11927.91346153847
279,raw,891.0,12124.307692307697
279,raw,892.0,12323.125000000002
279,raw,893.0,12526.249999999998
279,raw,894.0,12745.999999999995
279,raw,895.0,13008.500000000005
279,raw,896.0,13269.413461538472
279,raw,897.0,13523.980769230775
279,raw,898.0,13764.26923076923
279,raw,899.0,13899.84615384615
279,raw,900.0,14030.875
279,raw,901.0,14052.75
279,raw,902.0,14074.625
279,raw,903.0,14175.653846153848
279,raw,904.0,14279.98076923077
279,raw,905.0,14583.282608695643
279,raw,906.0,14913.717391304332
279,raw,907.0,15430.762019230755
279,raw,908.0,15991.579326923082
279,raw,909.0,16482.079710144928
279,raw,910.0,16946.572463768105
279,raw,911.0,17027.552884615387
