sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0105,K5m5,2,binary_MG_MBA,4.456722124453573,-19.110879327695212,10.575374,4.227644,15.237291,-8.534163
S0106,K5m5,2,binary_MG_MBA,5.622172248179807,-19.741219374273804,10.385803,4.9108953,15.218798,-8.562762
S0107,K5m5,2,binary_MG_MBA,5.257850332618376,-19.459990368810487,10.662124,4.499234,15.268826,-8.504375
S0108,K5m5,2,binary_MG_MBA,6.262292686555368,-17.964449691906147,11.147445,4.237974,15.187708,-8.552653
S0109,K5m5,2,binary_MG_MBA,6.259837530367347,-20.42471189295269,10.231104,4.2678366,15.197003,-8.548785
S0110,K5m5,2,binary_MG_MBA,5.143980652829641,-18.906437699390878,10.368261,3.9760852,15.253186,-8.518005
S0111,K5m5,2,binary_MG_MBA,5.223756730262199,-18.2637674503065,11.0796385,4.3455844,15.27705,-8.504738
S0112,K5m5,2,binary_MG_MBA,6.106067340197497,-20.670666811731987,10.197713,4.273483,15.215242,-8.531743
S0113,K5m5,2,binary_MG_MBA,4.718167945208254,-19.882226529760644,10.490052,4.4992304,15.226876,-8.492608
S0114,K5m5,2,binary_MG_MBA,6.256103653975369,-18.997811995600724,10.892434,4.616059,15.236243,-8.521282
S0115,K5m5,2,binary_MG_MBA,6.3568203997060335,-18.45600849434824,11.05821,4.4924355,15.257826,-8.5140705
S0116,K5m5,2,binary_MG_MBA,6.413991883195492,-19.593008814627538,10.655318,3.8917482,15.192036,-8.566814
S0117,K5m6,2,binary_MG_MBA,10.751889133609332,-16.23167319936164,8.759677,7.2695813,14.374385,1.4936198
S0118,K5m6,2,binary_MG_MBA,12.160835752814,-17.293115824960825,8.735713,7.459693,14.385197,1.4338161
S0119,K5m6,2,binary_MG_MBA,13.06672215412183,-18.81573887321811,8.702156,7.1805735,14.382942,1.2605633
S0120,K5m6,2,binary_MG_MBA,15.072210487524453,-17.305587596041118,8.549113,7.390109,14.3402,1.392426
S0121,K5m6,2,binary_MG_MBA,15.576828524238316,-16.13944555775049,8.30917,7.444894,14.321104,1.3089124
S0122,K5m6,2,binary_MG_MBA,13.729682744226684,-16.40884412511696,8.546332,7.9317746,14.303719,1.3427339
S0123,K5m6,2,binary_MG_MBA,14.85391322011213,-16.510905148041637,9.029643,7.7923627,14.340123,1.3154564
S0124,K5m6,2,binary_MG_MBA,15.785975855523523,-16.71064913373634,8.293755,7.894561,14.412308,1.3377565
S0125,K5m6,2,binary_MG_MBA,14.173330312616978,-16.423071978099344,9.133633,7.5788226,14.304854,1.3261938
S0126,K5m6,2,binary_MG_MBA,14.966310089070527,-15.271855596600359,8.43474,8.307888,14.3139715,1.4106852
S0127,K5m6,2,binary_MG_MBA,15.09513526959302,-15.040766724277002,8.898802,8.181847,14.329934,1.2960249
S0128,K5m6,2,binary_MG_MBA,15.538051820993593,-16.912215654250232,8.33601,7.8135614,14.366182,1.30434
S0129,K5m6,2,binary_MG_MBA,13.430267697868079,-13.69990142962245,9.612483,7.907051,14.271721,1.3265958
S0130,K5m6,2,binary_MG_MBA,14.492222320556994,-14.250581057863933,9.0022335,8.028358,14.327546,1.2987669
S0131,K5m6,2,binary_MG_MBA,18.092539992145642,-18.048177402429413,7.9684815,7.495523,14.349913,1.2652012
