variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent,has_thiram,has_mg,has_mba,peak_label
raw,m5,MBA_1080,1080,20,5583.984452736315,1397.8139018845782,25.03255361321088,False,False,True,4-MBA 1080
raw,m6,MBA_1080,1080,21,3658.048319710968,1522.064054681055,41.60863722000581,False,False,True,4-MBA 1080
raw,美4,Thiram_1382,1382,18,27821.97783687944,11359.263151638208,40.82838113896033,True,False,False,Thiram 1382
raw,美4K4,Thiram_1382,1382,10,50549.14361702133,5920.028608098178,11.7114320530343,True,True,False,Thiram 1382
raw,美4K4,MG_1616,1616,10,6263.0511235955055,1197.7398113509998,19.12390283449257,True,True,False,MG 1616
raw,美4K4m4,Thiram_1382,1382,12,21842.120098039213,4960.3100298350455,22.70983772440816,True,True,True,Thiram 1382
raw,美4K4m4,MG_1616,1616,12,18296.422752808998,3707.09058975319,20.26128626255125,True,True,True,MG 1616
raw,美4K4m4,MBA_1080,1080,12,22109.639510779427,4422.793438550247,20.0039147467508,True,True,True,4-MBA 1080
raw,美4K4m5,Thiram_1382,1382,15,11421.58039215686,2726.195732895323,23.868813590520165,True,True,True,Thiram 1382
raw,美4K4m5,MG_1616,1616,15,10346.543820224722,2858.7982080079905,27.63046537743169,True,True,True,MG 1616
raw,美4K4m5,MBA_1080,1080,15,5361.654560530677,1098.9225092838449,20.49595879177784,True,True,True,4-MBA 1080
raw,美4K4m6,Thiram_1382,1382,15,4777.701773049646,542.181816497212,11.348172034420074,True,True,True,Thiram 1382
raw,美4K4m6,MG_1616,1616,15,1905.933042495763,243.088333660877,12.754295572868603,True,True,True,MG 1616
raw,美4K4m6,MBA_1080,1080,15,1759.6413441127693,183.09271105821725,10.40511531914105,True,True,True,4-MBA 1080
raw,美4K5,Thiram_1382,1382,13,51606.67675941087,7825.962777268927,15.164632308632047,True,True,False,Thiram 1382
raw,美4K5,MG_1616,1616,13,4430.246371370767,346.58961424565285,7.823258238760529,True,True,False,MG 1616
raw,美4K5m4,Thiram_1382,1382,16,2482.181515957447,575.2158482613048,23.173802744213408,True,True,True,Thiram 1382
raw,美4K5m4,MG_1616,1616,16,926.7135066850792,228.82449847014283,24.692043098483,True,True,True,MG 1616
raw,美4K5m4,MBA_1080,1080,16,8749.039956467648,1927.7114729007333,22.033405750715428,True,True,True,4-MBA 1080
raw,美4K5m5,Thiram_1382,1382,15,2252.542198581561,316.8621793727025,14.066869849196722,True,True,True,Thiram 1382
raw,美4K5m5,MG_1616,1616,15,932.4954982947291,176.14370340033034,18.889496380673943,True,True,True,MG 1616
raw,美4K5m5,MBA_1080,1080,15,1256.521724709784,212.09966762839352,16.879904537852834,True,True,True,4-MBA 1080
raw,美4K5m6,Thiram_1382,1382,15,7857.357446808512,448.20146245749766,5.704226458980142,True,True,True,Thiram 1382
raw,美4K5m6,MG_1616,1616,15,1413.1132257862037,139.38639797424432,9.863781290186065,True,True,True,MG 1616
raw,美4K5m6,MBA_1080,1080,15,1736.8241666666663,188.466244073816,10.85119885425838,True,True,True,4-MBA 1080
raw,美4K6,Thiram_1382,1382,11,47695.58945841396,13194.022368908743,27.66298208854864,True,True,False,Thiram 1382
raw,美4K6,MG_1616,1616,11,3945.655055038491,786.5965493767992,19.935765757636048,True,True,False,MG 1616
raw,美4K6m4,Thiram_1382,1382,14,3503.9855623100307,46.37962482752903,1.3236248838009734,True,True,True,Thiram 1382
raw,美4K6m4,MG_1616,1616,14,816.481062304402,22.32680478216861,2.734515938331058,True,True,True,MG 1616
raw,美4K6m4,MBA_1080,1080,14,8657.209310589898,130.07271688772582,1.5024785958289684,True,True,True,4-MBA 1080
raw,美4K6m5,Thiram_1382,1382,14,8181.678951367782,601.6924631951953,7.354144140483617,True,True,True,Thiram 1382
